LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2009,7.48,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2010,7.0440001,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2011,5.8379998,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2012,6.4109998,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2000,23.875,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2001,24.434,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2002,24.018999,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2003,22.476,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2004,22.718,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2005,21.25,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2006,21.207001,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2007,20.808001,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2008,20.455,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2009,19.763,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2010,18.761,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2011,19.184999,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2012,18.768,
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2000,19.134001,
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2001,17.033001,
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2002,16.108999,
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2003,15.797,
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2004,16.305,
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2005,16.098,
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2006,15.511,
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2007,17.087999,
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2008,18.028,
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2009,15.265,
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2010,15.957,
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2011,16.488001,
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2012,15.423,
DNK,WAGEGAP,TOT,PC_MENWAGE,A,2000,12.581,
DNK,WAGEGAP,TOT,PC_MENWAGE,A,2001,11.681,
DNK,WAGEGAP,TOT,PC_MENWAGE,A,2002,11.596,
DNK,WAGEGAP,TOT,PC_MENWAGE,A,2003,10.668,
DNK,WAGEGAP,TOT,PC_MENWAGE,A,2004,10.9,
DNK,WAGEGAP,TOT,PC_MENWAGE,A,2005,10.729,
DNK,WAGEGAP,TOT,PC_MENWAGE,A,2006,10.731,
DNK,WAGEGAP,TOT,PC_MENWAGE,A,2007,9.6429996,
DNK,WAGEGAP,TOT,PC_MENWAGE,A,2008,10.662,
DNK,WAGEGAP,TOT,PC_MENWAGE,A,2009,10.67,
DNK,WAGEGAP,TOT,PC_MENWAGE,A,2010,9.5190001,
DNK,WAGEGAP,TOT,PC_MENWAGE,A,2011,8.8389997,
DNK,WAGEGAP,TOT,PC_MENWAGE,A,2012,7.8010001,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2000,20.427,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2001,21.239,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2002,20.372999,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2003,20.099001,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2004,20.014999,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2005,18.941999,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2006,19.375,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2007,21.377001,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2008,21.233999,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2009,19.676001,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2010,18.877001,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2011,18.608,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2012,18.726,
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2000,14.571,
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2001,15.125,
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2002,15.205,
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2003,15.144,
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2004,14.954,
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2005,14.389,
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2006,13.978,
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2007,13.965,
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2008,14.344,
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2009,14.031,
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2010,14.054,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2000,20.132,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2001,19.274,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2002,18.997,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2003,20.278999,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2004,22.878,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2005,17.059,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2006,19.476999,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2007,17.347,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2008,17.882999,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2009,17.598,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2010,16.872,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2011,16.573999,
GRC,WAGEGAP,TOT,PC_MENWAGE,A,2004,13.876,
GRC,WAGEGAP,TOT,PC_MENWAGE,A,2005,16.667,
GRC,WAGEGAP,TOT,PC_MENWAGE,A,2006,11.879,
GRC,WAGEGAP,TOT,PC_MENWAGE,A,2007,11.629,
GRC,WAGEGAP,TOT,PC_MENWAGE,A,2008,9.5240002,
GRC,WAGEGAP,TOT,PC_MENWAGE,A,2009,9.5869999,
GRC,WAGEGAP,TOT,PC_MENWAGE,A,2010,12.173,
GRC,WAGEGAP,TOT,PC_MENWAGE,A,2011,10.714,
GRC,WAGEGAP,TOT,PC_MENWAGE,A,2012,6.8530002,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2000,14.099,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2001,13.69,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2002,9.1300001,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2003,1.476,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2004,3.0339999,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2005,4.0219998,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2006,0.384,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2007,3.648,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2008,2.221,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2009,3.8759999,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2010,6.382,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2011,6.8639998,
ISL,WAGEGAP,TOT,PC_MENWAGE,A,2004,19.225,
ISL,WAGEGAP,TOT,PC_MENWAGE,A,2005,13.199,
ISL,WAGEGAP,TOT,PC_MENWAGE,A,2006,12.4,
ISL,WAGEGAP,TOT,PC_MENWAGE,A,2007,15.89,
ISL,WAGEGAP,TOT,PC_MENWAGE,A,2008,13.329,
ISL,WAGEGAP,TOT,PC_MENWAGE,A,2009,15.978,
ISL,WAGEGAP,TOT,PC_MENWAGE,A,2010,14.315,
ISL,WAGEGAP,TOT,PC_MENWAGE,A,2011,14.08,
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2000,19.73,
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2003,19.702999,
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2004,18.23,
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2005,13.793,
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2006,14.411,
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2007,17.952999,
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2008,14.964,
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2009,14.887,
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2010,12.845,
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2011,10.447,
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2012,8.3280001,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,2000,7.4070001,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,2002,10.959,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,2004,6.6669998,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,2006,6.948,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,2008,11.765,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,2010,11.111,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,2012,11.111,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2000,33.859001,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2001,33.865002,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2002,32.529999,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2003,31.997,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2004,31.087,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2005,32.825001,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2006,32.980999,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2007,31.742001,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2008,30.694,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2009,28.285,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2010,28.684,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2011,27.395,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2012,26.524,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2000,41.75980003,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2001,40.45205048,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2002,41.09881342,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2003,40.10036424,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2004,39.61494651,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2005,39.60764223,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2006,39.774,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2007,38.162,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2008,39.037,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2009,38.615,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2010,39.606,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2011,36.564,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2012,36.299,
LUX,WAGEGAP,TOT,PC_MENWAGE,A,2002,15.501,
LUX,WAGEGAP,TOT,PC_MENWAGE,A,2010,6.4949999,
NLD,WAGEGAP,TOT,PC_MENWAGE,A,2002,18.700001,
NLD,WAGEGAP,TOT,PC_MENWAGE,A,2006,18.295,
NLD,WAGEGAP,TOT,PC_MENWAGE,A,2010,20.459999,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,2000,7.119,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,2001,8.0559998,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,2002,7.5,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,2003,7.4070001,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,2004,7.5929999,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,2005,9.6110001,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,2006,9.3330002,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,2007,7.02,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,2008,7.7880001,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,2009,7.7529998,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,2010,6.7810001,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,2011,4.217,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,2012,6.1739998,
NOR,WAGEGAP,TOT,PC_MENWAGE,A,2000,10.189,
NOR,WAGEGAP,TOT,PC_MENWAGE,A,2001,10.743,
NOR,WAGEGAP,TOT,PC_MENWAGE,A,2002,10.682,
NOR,WAGEGAP,TOT,PC_MENWAGE,A,2003,10.212,
NOR,WAGEGAP,TOT,PC_MENWAGE,A,2004,9.7060003,
NOR,WAGEGAP,TOT,PC_MENWAGE,A,2005,9.3889999,
NOR,WAGEGAP,TOT,PC_MENWAGE,A,2006,9.1619997,
NOR,WAGEGAP,TOT,PC_MENWAGE,A,2007,9.8310003,
NOR,WAGEGAP,TOT,PC_MENWAGE,A,2008,9.2360001,
NOR,WAGEGAP,TOT,PC_MENWAGE,A,2009,8.6689997,
NOR,WAGEGAP,TOT,PC_MENWAGE,A,2010,8.0600004,
NOR,WAGEGAP,TOT,PC_MENWAGE,A,2011,7.7810001,
NOR,WAGEGAP,TOT,PC_MENWAGE,A,2012,6.4070001,
POL,WAGEGAP,TOT,PC_MENWAGE,A,2001,14.3,
POL,WAGEGAP,TOT,PC_MENWAGE,A,2002,11.316,
POL,WAGEGAP,TOT,PC_MENWAGE,A,2004,10.639,
POL,WAGEGAP,TOT,PC_MENWAGE,A,2006,11.44,
POL,WAGEGAP,TOT,PC_MENWAGE,A,2008,12.994,
POL,WAGEGAP,TOT,PC_MENWAGE,A,2010,7.1900001,
POL,WAGEGAP,TOT,PC_MENWAGE,A,2012,10.62,
PRT,WAGEGAP,TOT,PC_MENWAGE,A,2004,13.03,
PRT,WAGEGAP,TOT,PC_MENWAGE,A,2005,15.966,
PRT,WAGEGAP,TOT,PC_MENWAGE,A,2006,14.355,
PRT,WAGEGAP,TOT,PC_MENWAGE,A,2007,15.278,
PRT,WAGEGAP,TOT,PC_MENWAGE,A,2008,15.635,
PRT,WAGEGAP,TOT,PC_MENWAGE,A,2009,13.793,
PRT,WAGEGAP,TOT,PC_MENWAGE,A,2010,13.451,
PRT,WAGEGAP,TOT,PC_MENWAGE,A,2011,15.248,
PRT,WAGEGAP,TOT,PC_MENWAGE,A,2012,16.315001,
SVK,WAGEGAP,TOT,PC_MENWAGE,A,2002,20.355,
SVK,WAGEGAP,TOT,PC_MENWAGE,A,2003,20.690001,
SVK,WAGEGAP,TOT,PC_MENWAGE,A,2004,20.884001,
SVK,WAGEGAP,TOT,PC_MENWAGE,A,2005,20.099001,
SVK,WAGEGAP,TOT,PC_MENWAGE,A,2006,17.802999,
SVK,WAGEGAP,TOT,PC_MENWAGE,A,2007,17.521999,
SVK,WAGEGAP,TOT,PC_MENWAGE,A,2008,16.445,
SVK,WAGEGAP,TOT,PC_MENWAGE,A,2009,16.433001,
SVK,WAGEGAP,TOT,PC_MENWAGE,A,2010,14.851,
SVK,WAGEGAP,TOT,PC_MENWAGE,A,2011,15.45,
SVK,WAGEGAP,TOT,PC_MENWAGE,A,2012,15.965,
ESP,WAGEGAP,TOT,PC_MENWAGE,A,2004,12.571,
ESP,WAGEGAP,TOT,PC_MENWAGE,A,2005,12.5,
ESP,WAGEGAP,TOT,PC_MENWAGE,A,2006,10.372,
ESP,WAGEGAP,TOT,PC_MENWAGE,A,2007,8.8889999,
ESP,WAGEGAP,TOT,PC_MENWAGE,A,2008,11.798,
ESP,WAGEGAP,TOT,PC_MENWAGE,A,2009,7.303,
ESP,WAGEGAP,TOT,PC_MENWAGE,A,2010,6.0710001,
ESP,WAGEGAP,TOT,PC_MENWAGE,A,2011,10.55,
ESP,WAGEGAP,TOT,PC_MENWAGE,A,2012,8.6479998,
SWE,WAGEGAP,TOT,PC_MENWAGE,A,2000,15.493,
SWE,WAGEGAP,TOT,PC_MENWAGE,A,2001,16.586,
SWE,WAGEGAP,TOT,PC_MENWAGE,A,2002,15.854,
SWE,WAGEGAP,TOT,PC_MENWAGE,A,2003,16.000999,
SWE,WAGEGAP,TOT,PC_MENWAGE,A,2004,15.314,
SWE,WAGEGAP,TOT,PC_MENWAGE,A,2005,14.414,
SWE,WAGEGAP,TOT,PC_MENWAGE,A,2006,14.559,
SWE,WAGEGAP,TOT,PC_MENWAGE,A,2007,16.384001,
SWE,WAGEGAP,TOT,PC_MENWAGE,A,2008,15.411,
SWE,WAGEGAP,TOT,PC_MENWAGE,A,2009,14.912,
SWE,WAGEGAP,TOT,PC_MENWAGE,A,2010,14.317,
SWE,WAGEGAP,TOT,PC_MENWAGE,A,2011,15.927,
SWE,WAGEGAP,TOT,PC_MENWAGE,A,2012,15.13,
CHE,WAGEGAP,TOT,PC_MENWAGE,A,2000,22.181,
CHE,WAGEGAP,TOT,PC_MENWAGE,A,2002,21.240999,
CHE,WAGEGAP,TOT,PC_MENWAGE,A,2004,20.089001,
CHE,WAGEGAP,TOT,PC_MENWAGE,A,2006,19.297001,
CHE,WAGEGAP,TOT,PC_MENWAGE,A,2008,19.51,
CHE,WAGEGAP,TOT,PC_MENWAGE,A,2010,18.523001,
TUR,WAGEGAP,TOT,PC_MENWAGE,A,2010,20.065001,
GBR,WAGEGAP,TOT,PC_MENWAGE,A,2000,26.280001,
GBR,WAGEGAP,TOT,PC_MENWAGE,A,2001,25.639999,
GBR,WAGEGAP,TOT,PC_MENWAGE,A,2002,24.379,
GBR,WAGEGAP,TOT,PC_MENWAGE,A,2003,24.124001,
GBR,WAGEGAP,TOT,PC_MENWAGE,A,2004,23.358999,
GBR,WAGEGAP,TOT,PC_MENWAGE,A,2005,22.063999,
GBR,WAGEGAP,TOT,PC_MENWAGE,A,2006,21.718,
GBR,WAGEGAP,TOT,PC_MENWAGE,A,2007,21.635,
GBR,WAGEGAP,TOT,PC_MENWAGE,A,2008,21.858,
GBR,WAGEGAP,TOT,PC_MENWAGE,A,2009,20.686001,
GBR,WAGEGAP,TOT,PC_MENWAGE,A,2010,19.231001,
GBR,WAGEGAP,TOT,PC_MENWAGE,A,2011,18.246,
GBR,WAGEGAP,TOT,PC_MENWAGE,A,2012,17.784,
USA,WAGEGAP,TOT,PC_MENWAGE,A,2000,23.089001,
USA,WAGEGAP,TOT,PC_MENWAGE,A,2001,23.582001,
USA,WAGEGAP,TOT,PC_MENWAGE,A,2002,22.091,
USA,WAGEGAP,TOT,PC_MENWAGE,A,2003,20.576,
USA,WAGEGAP,TOT,PC_MENWAGE,A,2004,19.635,
USA,WAGEGAP,TOT,PC_MENWAGE,A,2005,18.975,
USA,WAGEGAP,TOT,PC_MENWAGE,A,2006,19.246,
USA,WAGEGAP,TOT,PC_MENWAGE,A,2007,19.843,
USA,WAGEGAP,TOT,PC_MENWAGE,A,2008,20.049999,
USA,WAGEGAP,TOT,PC_MENWAGE,A,2009,19.780001,
USA,WAGEGAP,TOT,PC_MENWAGE,A,2010,18.811001,
USA,WAGEGAP,TOT,PC_MENWAGE,A,2011,17.788,
USA,WAGEGAP,TOT,PC_MENWAGE,A,2012,19.087,
CHL,WAGEGAP,TOT,PC_MENWAGE,A,2000,0,
CHL,WAGEGAP,TOT,PC_MENWAGE,A,2003,0,
CHL,WAGEGAP,TOT,PC_MENWAGE,A,2006,3.9579999,
CHL,WAGEGAP,TOT,PC_MENWAGE,A,2009,9.0909996,
CHL,WAGEGAP,TOT,PC_MENWAGE,A,2011,16,
EST,WAGEGAP,TOT,PC_MENWAGE,A,2002,24.046,
EST,WAGEGAP,TOT,PC_MENWAGE,A,2006,28.122,
EST,WAGEGAP,TOT,PC_MENWAGE,A,2010,31.500999,
ISR,WAGEGAP,TOT,PC_MENWAGE,A,2001,28.103001,
ISR,WAGEGAP,TOT,PC_MENWAGE,A,2002,24.52,
ISR,WAGEGAP,TOT,PC_MENWAGE,A,2003,24.615,
ISR,WAGEGAP,TOT,PC_MENWAGE,A,2004,25.462,
ISR,WAGEGAP,TOT,PC_MENWAGE,A,2005,22.351999,
ISR,WAGEGAP,TOT,PC_MENWAGE,A,2006,22.016001,
ISR,WAGEGAP,TOT,PC_MENWAGE,A,2007,21.160999,
ISR,WAGEGAP,TOT,PC_MENWAGE,A,2008,22.025999,
ISR,WAGEGAP,TOT,PC_MENWAGE,A,2009,20.268999,
ISR,WAGEGAP,TOT,PC_MENWAGE,A,2010,20.700001,
ISR,WAGEGAP,TOT,PC_MENWAGE,A,2011,21.827,
SVN,WAGEGAP,TOT,PC_MENWAGE,A,2010,11.634,
MEX,WAGEGAP,TOT,PC_MENWAGE,A,2005,16.667,
MEX,WAGEGAP,TOT,PC_MENWAGE,A,2006,18.605,
MEX,WAGEGAP,TOT,PC_MENWAGE,A,2007,12.5,
MEX,WAGEGAP,TOT,PC_MENWAGE,A,2008,22.222,
MEX,WAGEGAP,TOT,PC_MENWAGE,A,2009,16.667,
MEX,WAGEGAP,TOT,PC_MENWAGE,A,2010,11.628,
MEX,WAGEGAP,TOT,PC_MENWAGE,A,2011,10,
MEX,WAGEGAP,TOT,PC_MENWAGE,A,2012,13.556,
LVA,WAGEGAP,TOT,PC_MENWAGE,A,2002,19.231001,
LVA,WAGEGAP,TOT,PC_MENWAGE,A,2006,8.085,
LVA,WAGEGAP,TOT,PC_MENWAGE,A,2010,13.333,
LTU,WAGEGAP,TOT,PC_MENWAGE,A,2002,13.079,
LTU,WAGEGAP,TOT,PC_MENWAGE,A,2006,14.234,
LTU,WAGEGAP,TOT,PC_MENWAGE,A,2010,6.9569998,
